"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,251.0,0.0,0.002238631248474121,"the most [[hopelessly]] [[monotonous]] film of the year , [[noteworthy]] only for the [[gimmick]] of being [[filmed]] as a [[single]] unbroken 87-minute [[take]] . ",0.0,0.3264385461807251,"the most [[dispiritedly]] [[humdrum]] film of the year , [[remarkable]] only for the [[catch]] of being [[film]] as a [[unity]] unbroken 87-minute [[yield]] . ","Failed"
0.0,140.0,0.0,0.00193864107131958,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",1.0,0.852820634841919,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[Mississippi]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","Successful"
1.0,174.0,1.0,0.0006159543991088867,"bennett 's naturalistic performance speaks [[volumes]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should [[watch]] some body first . ",0.0,0.8842772841453552,"bennett 's naturalistic performance speaks [[bulk]] more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should [[picket]] some body first . ","Successful"
0.0,327.0,0.0,0.3258679509162903,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ",1.0,0.9982299208641052,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[bemused]] when it came time to get to the heart of the movie . ","Successful"
1.0,87.0,1.0,0.00036513805389404297,"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] [[lies]] in its complexity . ",0.0,0.7528424859046936,"anchored by friel and williams 's [[prodigious]] performances , the film 's [[mightiness]] [[prevarication]] in its complexity . ","Successful"
1.0,85.0,1.0,0.0011726021766662598,"a woman 's pic [[directed]] with [[resonance]] by ilya chaiken . ",0.0,0.9067139625549316,"a woman 's pic [[send]] with [[plangency]] by ilya chaiken . ","Successful"
1.0,157.0,1.0,0.0002835392951965332,"the [[best]] film about baseball to hit theaters since field of dreams . ",0.0,0.9052234888076782,"the [[unspoilt]] film about baseball to hit theaters since field of dreams . ","Successful"
0.0,209.0,0.0,0.005819916725158691,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an [[easy]] categorization . ",1.0,0.538677453994751,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[softened]] and pretentious to be engaging ... the isle defies an [[wanton]] categorization . ","Successful"
0.0,37.0,0.0,0.0018284320831298828,"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ",1.0,0.9383253455162048,"it 's [[silent]] , but more importantly , it 's just not [[shivery]] . ","Successful"
0.0,159.0,0.0,0.0011745095252990723,"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ",1.0,0.5847796201705933,"schaeffer has to [[witness]] some hook on which to hang his persistently useless movies , and it [[power]] as [[advantageously]] be the resuscitation of the middle-aged character . ","Successful"
