"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,251.0,0.0,0.0011677145957946777,"the most [[hopelessly]] [[monotonous]] [[film]] of the year , [[noteworthy]] only for the [[gimmick]] of being filmed as a [[single]] unbroken 87-minute [[take]] . ",0.0,0.018167734146118164,"the most [[dispiritedly]] [[monotonic]] [[take]] of the year , [[remarkable]] only for the [[twist]] of being filmed as a [[individual]] unbroken 87-minute [[bring]] . ","Failed"
0.0,157.0,0.0,0.0016248226165771484,"as a rumor of [[angels]] reveals itself to be a sudsy tub of supernatural hokum , not [[even]] [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",1.0,0.5216606855392456,"as a rumor of [[angel]] reveals itself to be a sudsy tub of supernatural hokum , not [[evening]] [[molarity]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","Successful"
1.0,201.0,1.0,0.0011968612670898438,"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` [[reality]] ' [[show]] , and anybody contemplating their own drastic life changes should watch some body [[first]] . ",0.0,0.6107061505317688,"bennett 's naturalistic performance [[mouth]] volumes more truth than any ` [[realness]] ' [[point]] , and anybody contemplating their own drastic life changes should watch some body [[low]] . ","Successful"
0.0,327.0,0.0,0.010539114475250244,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ",1.0,0.5563860535621643,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[flurry]] when it came time to get to the heart of the movie . ","Successful"
1.0,89.0,1.0,0.0002879500389099121,"[[anchored]] by friel and williams 's [[exceptional]] performances , the film 's [[power]] [[lies]] in its complexity . ",0.0,0.6877584457397461,"[[anchor]] by friel and williams 's [[especial]] performances , the film 's [[mightiness]] [[prevarication]] in its complexity . ","Successful"
1.0,60.0,1.0,0.0005135536193847656,"a woman 's pic directed with [[resonance]] by ilya chaiken . ",0.0,0.5879931449890137,"a woman 's pic directed with [[plangency]] by ilya chaiken . ","Successful"
1.0,157.0,1.0,0.00029712915420532227,"the [[best]] film about baseball to hit theaters since field of dreams . ",0.0,0.6879310011863708,"the [[undecomposed]] film about baseball to hit theaters since field of dreams . ","Successful"
0.0,209.0,0.0,0.006820797920227051,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[dull]] and pretentious to be engaging ... the isle defies an [[easy]] categorization . ",1.0,0.5754522085189819,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[softened]] and pretentious to be engaging ... the isle defies an [[sluttish]] categorization . ","Successful"
0.0,38.0,0.0,0.0009233951568603516,"it 's [[dumb]] , but more importantly , it 's just not [[scary]] . ",0.0,0.005383312702178955,"it 's [[dense]] , but more importantly , it 's just not [[shuddery]] . ","Failed"
0.0,219.0,0.0,0.0022266507148742676,"schaeffer has to [[find]] some [[hook]] on which to [[hang]] his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged [[character]] . ",0.0,0.41547226905822754,"schaeffer has to [[uncovering]] some [[draw]] on which to [[fall]] his persistently useless movies , and it [[power]] as [[advantageously]] be the resuscitation of the middle-aged [[role]] . ","Failed"
1.0,166.0,1.0,0.02940613031387329,"aside from minor tinkering , this is the same movie you probably [[loved]] in 1994 , except that it looks even better . ",0.0,0.9901771545410156,"aside from minor tinkering , this is the same movie you probably [[screw]] in 1994 , except that it looks even better . ","Successful"
1.0,19.0,1.0,0.0005244612693786621,"very psychoanalytical -- [[provocatively]] so -- and [[also]] refreshingly literary . ",0.0,0.531181812286377,"very psychoanalytical -- [[provokingly]] so -- and [[too]] refreshingly literary . ","Successful"
1.0,188.0,1.0,0.000724494457244873,"so unassuming and [[pure]] of [[heart]] , you ca n't help but warmly extend your arms and yell ` [[safe]] ! ' ",0.0,0.9261640310287476,"so unassuming and [[gross]] of [[substance]] , you ca n't help but warmly extend your arms and yell ` [[prophylactic]] ! ' ","Successful"
1.0,143.0,1.0,0.00026363134384155273,"an [[entertaining]] , [[colorful]] , action-filled [[crime]] [[story]] with an [[intimate]] [[heart]] . ",0.0,0.9927310943603516,"an [[nurse]] , [[colored]] , action-filled [[offence]] [[report]] with an [[insinuate]] [[pump]] . ","Successful"
0.0,180.0,0.0,0.0009956955909729004,"[[due]] to some [[script]] [[weaknesses]] and the [[casting]] of the director 's [[brother]] , the [[film]] [[trails]] off into inconsequentiality . ",0.0,0.013059437274932861,"[[imputable]] to some [[playscript]] [[impuissance]] and the [[draw]] of the director 's [[Brother]] , the [[take]] [[tag]] off into inconsequentiality . ","Failed"
0.0,202.0,0.0,0.002653837203979492,"works [[hard]] to establish rounded characters , but then has [[nothing]] fresh or particularly interesting to say about them . ",1.0,0.9917132258415222,"works [[strong]] to establish rounded characters , but then has [[cypher]] fresh or particularly interesting to say about them . ","Successful"
1.0,56.0,1.0,0.0002830624580383301,"[[one]] of the most [[significant]] moviegoing pleasures of the year . ",0.0,0.8782318234443665,"[[matchless]] of the most [[meaning]] moviegoing pleasures of the year . ","Successful"
1.0,65.0,1.0,0.0007387995719909668,"the son 's room is a [[triumph]] of gentility that earns its moments of [[pathos]] . ",0.0,0.6167097091674805,"the son 's room is a [[gloat]] of gentility that earns its moments of [[pity]] . ","Successful"
1.0,292.0,1.0,0.0007488131523132324,"what the film lacks in general focus it [[makes]] up for in [[compassion]] , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ",0.0,0.9835602641105652,"what the film lacks in general focus it [[shit]] up for in [[pity]] , as corcuera [[grapple]] to find the seeds of hope in the form of collective action . ","Successful"
1.0,113.0,1.0,0.0002639889717102051,"[[one]] of those [[energetic]] surprises , an original that [[pleases]] almost everyone who sees it . ",0.0,0.6541504859924316,"[[matchless]] of those [[gumptious]] surprises , an original that [[supplication]] almost everyone who sees it . ","Successful"
