"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,67.0,0.0,0.002238631248474121,"the most [[hopelessly]] [[monotonous]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ",1.0,0.6970396041870117,"the most [[lethally]] [[fanfare]] film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take . ","Successful"
0.0,68.0,0.0,0.00193864107131958,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[ms]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ",1.0,0.5777629613876343,"as a rumor of angels reveals itself to be a sudsy tub of supernatural hokum , not even [[zita]]. redgrave 's noblest efforts can redeem it from hopeless sentimentality . ","Successful"
1.0,75.0,1.0,0.0006159543991088867,"bennett 's naturalistic performance [[speaks]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ",0.0,0.9710832834243774,"bennett 's naturalistic performance [[schmooze]] volumes more truth than any ` reality ' show , and anybody contemplating their own drastic life changes should watch some body first . ","Successful"
0.0,59.0,0.0,0.3258679509162903,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[confused]] when it came time to get to the heart of the movie . ",1.0,0.9031954407691956,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself [[puzzled]] when it came time to get to the heart of the movie . ","Successful"
1.0,85.0,1.0,0.00036513805389404297,"anchored by friel and williams 's [[exceptional]] performances , the film 's [[power]] lies in its complexity . ",0.0,0.8829677700996399,"anchored by friel and williams 's [[unpaid]] performances , the film 's [[jurisdiction]] lies in its complexity . ","Successful"
1.0,61.0,1.0,0.0011726021766662598,"a woman 's pic [[directed]] with [[resonance]] by ilya chaiken . ",0.0,0.9452119469642639,"a woman 's pic [[targeted]] with [[resonant]] by ilya chaiken . ","Successful"
1.0,49.0,1.0,0.0002835392951965332,"the [[best]] film about baseball to hit theaters since field of dreams . ",0.0,0.9623215794563293,"the [[strictest]] film about baseball to hit theaters since field of dreams . ","Successful"
0.0,148.0,0.0,0.005819916725158691,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[dull]] and [[pretentious]] to [[be]] engaging ... the isle defies an [[easy]] categorization . ",1.0,0.6331875920295715,"too restrained to be a freak show , too mercenary and obvious to be cerebral , too [[somber]] and [[disdainful]] to [[become]] engaging ... the isle defies an [[facile]] categorization . ","Successful"
0.0,38.0,0.0,0.0018284320831298828,"it 's dumb , but more importantly , it 's just not [[scary]] . ",1.0,0.9989728331565857,"it 's dumb , but more importantly , it 's just not [[afraid]] . ","Successful"
0.0,109.0,0.0,0.0011745095252990723,"schaeffer has to find some hook on which to hang his persistently [[useless]] movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ",1.0,0.5517154335975647,"schaeffer has to find some hook on which to hang his persistently [[immaterial]] movies , and it [[perils]] as [[successfully]] be the resuscitation of the middle-aged character . ","Successful"
1.0,25.0,1.0,0.028883397579193115,"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[better]] . ",0.0,0.9885117411613464,"aside from minor tinkering , this is the same movie you probably loved in 1994 , except that it looks even [[fatter]] . ","Successful"
1.0,107.0,1.0,0.00040596723556518555,"[[very]] psychoanalytical -- provocatively so -- and also [[refreshingly]] literary . ",0.0,0.962622880935669,"[[too]] psychoanalytical -- provocatively so -- and also [[nonchalantly]] literary . ","Successful"
1.0,91.0,1.0,0.0005213618278503418,"so unassuming and pure of [[heart]] , you ca n't [[help]] but [[warmly]] extend your arms and yell ` safe ! ' ",0.0,0.6209397315979004,"so unassuming and pure of [[gist]] , you ca n't [[aiding]] but [[frankly]] extend your arms and yell ` safe ! ' ","Successful"
1.0,129.0,1.0,0.00022083520889282227,"an [[entertaining]] , [[colorful]] , action-filled crime [[story]] with an intimate [[heart]] . ",0.0,0.9539926052093506,"an [[distract]] , [[smeared]] , action-filled crime [[storeys]] with an intimate [[nub]] . ","Successful"
0.0,215.0,0.0,0.0008245110511779785,"due to some [[script]] [[weaknesses]] and the [[casting]] of the [[director]] 's [[brother]] , the [[film]] [[trails]] off into inconsequentiality . ",0.0,0.003960371017456055,"due to some [[screenplays]] [[gap]] and the [[molded]] of the [[mgr]] 's [[brah]] , the [[moviemaking]] [[footsteps]] off into inconsequentiality . ","Failed"
0.0,134.0,0.0,0.0011810660362243652,"works [[hard]] to [[establish]] rounded characters , but then [[has]] nothing fresh or [[particularly]] interesting to say about them . ",1.0,0.5054810047149658,"works [[intensely]] to [[establishes]] rounded characters , but then [[enjoy]] nothing fresh or [[supremely]] interesting to say about them . ","Successful"
1.0,114.0,1.0,0.00036978721618652344,"one of the most [[significant]] moviegoing [[pleasures]] of the [[year]] . ",0.0,0.9977578520774841,"one of the most [[cannot]] moviegoing [[droll]] of the [[roku]] . ","Successful"
1.0,85.0,1.0,0.0008563995361328125,"the son 's room is a [[triumph]] of gentility that [[earns]] its moments of pathos . ",0.0,0.8995687961578369,"the son 's room is a [[sieg]] of gentility that [[earning]] its moments of pathos . ","Successful"
1.0,101.0,1.0,0.0005335211753845215,"what the film lacks in general focus it [[makes]] up for in compassion , as corcuera [[manages]] to find the seeds of hope in the form of collective action . ",0.0,0.5627363920211792,"what the film lacks in general focus it [[implies]] up for in compassion , as corcuera [[administration]] to find the seeds of hope in the form of collective action . ","Successful"
1.0,156.0,1.0,0.00023502111434936523,"one of those [[energetic]] [[surprises]] , an [[original]] that [[pleases]] almost everyone who [[sees]] it . ",1.0,0.4597134590148926,"one of those [[active]] [[aghast]] , an [[initial]] that [[seduces]] almost everyone who [[looks]] it . ","Failed"
1.0,61.0,1.0,0.0073615312576293945,"this is wild surreal stuff , but [[brilliant]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ",0.0,0.9763259291648865,"this is wild surreal stuff , but [[super]] and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other . ","Successful"
0.0,73.0,0.0,0.005927860736846924,"or doing [[last]] year 's [[taxes]] with your ex-wife . ",1.0,0.9871810078620911,"or doing [[ultimate]] year 's [[honorarium]] with your ex-wife . ","Successful"
1.0,52.0,1.0,0.0004304051399230957,"a [[rewarding]] work of art for only the most patient and challenge-hungry moviegoers . ",0.0,0.9928138852119446,"a [[fecund]] work of art for only the most patient and challenge-hungry moviegoers . ","Successful"
1.0,78.0,1.0,0.00029355287551879883,"a [[good]] [[piece]] of work more often than not . ",0.0,0.9915313124656677,"a [[guten]] [[lump]] of work more often than not . ","Successful"
