"ground_truth_output","num_queries","original_output","original_score","original_text","perturbed_output","perturbed_score","perturbed_text","result_type"
0.0,69.0,0.0,0.002238631248474121,"the most [[hopelessly]] monotonous film of the [[year]] , [[noteworthy]] only for the gimmick of being filmed as a [[single]] [[unbroken]] 87-minute [[take]] . ",0.0,0.17709708213806152,"the most [[irretrievably]] monotonous film of the [[yearly]] , [[superb]] only for the gimmick of being filmed as a [[singular]] [[sustained]] 87-minute [[adopting]] . ","Failed"
0.0,74.0,0.0,0.00193864107131958,"as a rumor of angels [[reveals]] itself to be a sudsy [[tub]] of supernatural hokum , not [[even]] ms. redgrave 's [[noblest]] [[efforts]] can [[redeem]] it from [[hopeless]] sentimentality . ",0.0,0.05860668420791626,"as a rumor of angels [[showcase]] itself to be a sudsy [[bath]] of supernatural hokum , not [[yet]] ms. redgrave 's [[finest]] [[initiatives]] can [[redeeming]] it from [[despairing]] sentimentality . ","Failed"
1.0,58.0,1.0,0.0006159543991088867,"bennett 's naturalistic performance [[speaks]] [[volumes]] more [[truth]] than any ` [[reality]] ' show , and anybody contemplating their own [[drastic]] [[life]] [[changes]] should watch some [[body]] first . ",0.0,0.6204820275306702,"bennett 's naturalistic performance [[talked]] [[sums]] more [[truthfulness]] than any ` [[factual]] ' show , and anybody contemplating their own [[severe]] [[living]] [[changed]] should watch some [[bodies]] first . ","Successful"
0.0,45.0,0.0,0.3258679509162903,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it [[came]] time to [[get]] to the heart of the movie . ",1.0,0.5779435634613037,"by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it [[come]] time to [[got]] to the heart of the movie . ","Successful"
1.0,52.0,1.0,0.00036513805389404297,"[[anchored]] by friel and williams 's [[exceptional]] performances , the [[film]] 's power [[lies]] in its complexity . ",1.0,0.0013849735260009766,"[[pinned]] by friel and williams 's [[noteworthy]] performances , the [[movies]] 's power [[resides]] in its complexity . ","Failed"
1.0,13.0,1.0,0.0011726021766662598,"a woman 's pic directed with resonance by ilya chaiken . ",1.0,0.0011726021766662598,"a woman 's pic directed with resonance by ilya chaiken . ","Failed"
1.0,30.0,1.0,0.0002835392951965332,"the best [[film]] about baseball to hit theaters since [[field]] of [[dreams]] . ",1.0,0.0004239678382873535,"the best [[films]] about baseball to hit theaters since [[zone]] of [[fantasies]] . ","Failed"
0.0,70.0,0.0,0.005819916725158691,"too restrained to be a freak show , too mercenary and [[obvious]] to be [[cerebral]] , too [[dull]] and [[pretentious]] to be [[engaging]] ... the isle defies an [[easy]] categorization . ",0.0,0.3619329333305359,"too restrained to be a freak show , too mercenary and [[clear]] to be [[brain]] , too [[boring]] and [[haughty]] to be [[involved]] ... the isle defies an [[uncomplicated]] categorization . ","Failed"
0.0,22.0,0.0,0.0018284320831298828,"it 's dumb , but more importantly , it 's just not [[scary]] . ",1.0,0.996583104133606,"it 's dumb , but more importantly , it 's just not [[horrible]] . ","Successful"
0.0,45.0,0.0,0.0011745095252990723,"schaeffer has to [[find]] some hook on which to hang his persistently useless movies , and it [[might]] as [[well]] be the resuscitation of the middle-aged character . ",0.0,0.003519594669342041,"schaeffer has to [[discover]] some hook on which to hang his persistently useless movies , and it [[perhaps]] as [[alright]] be the resuscitation of the middle-aged character . ","Failed"
